,importance
Outstanding_Debt,0.1489229745710924
Interest_Rate,0.1339978468592447
Delay_from_due_date,0.09197717451500113
Payment_of_Min_Amount,0.08381987635044233
Credit_Mix,0.0684592884439497
Credit_History_Months,0.05362561483340194
Num_Bank_Accounts,0.05296726487092083
Debt_to_Income,0.052744313836169655
Num_Credit_Card,0.04544824605389357
Num_of_Delayed_Payment,0.03549282171948159
Num_of_Loan,0.030025141808108956
Salary_to_EMI,0.029836043855050235
Total_EMI_per_month,0.028121442553575727
Annual_Income,0.02599429972742796
Monthly_Inhand_Salary,0.0222084737970677
Age,0.020506876502009483
Monthly_Balance,0.01857718095629609
Amount_invested_monthly,0.01835507291575457
Credit_Utilization_Ratio,0.015857880613466917
Occupation,0.013862207254707054
Payment_Behaviour,0.009199957962937495
